temperature,model_id,metric,n_prompts,mean,bootstrap_lo,bootstrap_hi
0.0,gpt-5.5,post_minus_live,10,5.166666666666667,1.5666666666666678,9.883333333333333
0.0,gpt-5.5,replay_minus_live,10,-1.9666666666666663,-4.066666666666666,1.0658141036401502e-15
0.0,gpt-5.5,post_minus_replay,10,7.133333333333333,3.1333333333333337,11.833333333333332
0.0,gpt-5.5,live_post_spearman,10,0.7300313598106071,0.5488217024981449,0.8826695885516406
0.0,gemini-3.1-pro-preview,post_minus_live,10,25.261904761904763,16.797619047619047,33.80952380952381
0.0,gemini-3.1-pro-preview,replay_minus_live,10,-0.011904761904762218,-2.630952380952381,3.964285714285713
0.0,gemini-3.1-pro-preview,post_minus_replay,10,25.273809523809526,17.595238095238095,32.88095238095238
0.0,gemini-3.1-pro-preview,live_post_spearman,10,0.18433596787486115,-0.12873906290277742,0.48766190541776666
0.7,gpt-5.5,post_minus_live,10,1.9500000000000006,-1.4833333333333327,6.200000000000001
0.7,gpt-5.5,replay_minus_live,10,-3.7166666666666663,-6.283333333333334,-1.1833333333333336
0.7,gpt-5.5,post_minus_replay,10,5.666666666666667,1.7500000000000007,10.283333333333335
0.7,gpt-5.5,live_post_spearman,10,0.8971428571428571,0.8571428571428571,0.9314285714285715
0.7,gemini-3.1-pro-preview,post_minus_live,10,13.866666666666669,8.33095238095238,19.735714285714288
0.7,gemini-3.1-pro-preview,replay_minus_live,10,-1.6333333333333335,-4.65,1.4666666666666668
0.7,gemini-3.1-pro-preview,post_minus_replay,10,15.5,10.166666666666666,21.20714285714286
0.7,gemini-3.1-pro-preview,live_post_spearman,10,0.541384236425028,0.322368303925204,0.7519410695563888
