model_id,live_post_n,live_post_bias_first_minus_second,live_post_mae,live_post_pearson,live_post_spearman,live_replay_n,live_replay_bias_first_minus_second,live_replay_mae,live_replay_pearson,live_replay_spearman,post_replay_n,post_replay_bias_first_minus_second,post_replay_mae,post_replay_pearson,post_replay_spearman
claude-opus-5,273,4.102564102564102,7.018315018315018,0.8131812809572386,0.8220768377606904,30,1.6666666666666667,4.933333333333334,0.853434959021352,0.8784525581851139,30,-2.1666666666666665,7.566666666666666,0.7814768673370389,0.762384106632651
deepseek-v3.2,131,-10.86259541984733,16.51145038167939,0.11254101731514095,0.22634710294153437,3,-8.333333333333334,8.333333333333334,0.6546536707079771,0.5,3,-5.0,8.333333333333334,0.7559289460184544,0.5
deepseek-v4-flash,204,2.073529411764706,9.651960784313726,0.3474338746308115,0.42562760721508097,23,9.0,12.478260869565217,0.09581902243950753,0.2878749776364289,23,0.6086956521739131,6.521739130434782,0.2726597582068353,0.33451626903261816
gemini-3.1-pro-preview,328,-26.20731707317073,27.109756097560975,0.3118090584655676,0.2652486862039726,26,-9.5,10.807692307692308,0.8934244785860848,0.6918357797001837,26,16.653846153846153,17.423076923076923,0.6908147524058665,0.638296063521174
gemma-3-12b-it,244,4.934426229508197,15.795081967213115,0.4700484114577616,0.507171666300044,0,,,,,0,,,,
gpt-5.5,307,-4.4397394136807815,6.374592833876221,0.6291182128030287,0.6514719688712337,25,-0.92,5.4,0.6146835032425784,0.6797765564580026,25,6.76,7.16,0.6942003296559349,0.7576113702476146
gpt-oss-120b,240,-5.8875,8.629166666666666,0.29303869963782986,0.3687808440732201,24,6.958333333333333,7.541666666666667,0.3792165185892698,0.34571091427752976,24,7.291666666666667,8.958333333333334,-0.2607526519589403,-0.20281948436393893
llama-3.3-70b-instruct,299,4.11371237458194,7.839464882943144,0.7265684984391594,0.6897533349773451,29,4.517241379310345,10.241379310344827,0.44107231333990937,0.3527444611962248,29,2.206896551724138,13.724137931034482,0.043379311013244375,0.04080662669917261
ministral-3-14b-2512,78,-1.3076923076923077,5.076923076923077,0.5812876715439808,0.5372031157798322,7,4.571428571428571,7.428571428571429,0.39802217267631657,0.25,7,1.4285714285714286,5.714285714285714,0.09234860641727344,-0.07142857142857142
qwen3-30b-a3b-instruct-2507,291,0.7422680412371134,4.247422680412371,0.28867396822391217,0.268773506239275,0,,,,,0,,,,
