model_id,variant_id,n_questions,mean_within_output_live_post_spearman,rho_bootstrap_lo,rho_bootstrap_hi,mean_pairwise_order_accuracy,mean_post_minus_live,shift_bootstrap_lo,shift_bootstrap_hi,n_replay_questions,mean_replay_minus_live,mean_post_minus_replay
gpt-5.5,original,16,0.6495871011661304,0.5104197417769906,0.7787568429431209,0.7728174603174603,5.861607142857142,3.8288690476190474,8.069940476190476,8,-0.21726190476190477,5.508928571428571
gpt-5.5,paraphrase,16,0.5014136634764264,0.32612065091162135,0.668249939463851,0.7033189946018893,4.669642857142857,2.1502976190476186,7.705357142857142,8,1.0952380952380947,5.651785714285714
gpt-5.5,reverse,16,0.35738234489408593,0.1814688004706275,0.5351868123782626,0.6565512338538654,2.46875,1.1339285714285716,4.0625,8,-2.053571428571429,3.9464285714285716
gpt-5.5,minimal,16,0.3020079230812707,0.029464285714285735,0.5446388351822258,0.6251488095238095,7.224702380952381,4.767857142857143,9.802083333333332,8,0.31845238095238093,6.229166666666667
gemini-3.1-pro-preview,original,16,0.5379398889103563,0.3407163093115137,0.7032818459185263,0.7381876105705439,14.325892857142858,6.566964285714286,23.383928571428573,8,7.497767857142858,13.430803571428573
gemini-3.1-pro-preview,paraphrase,16,0.45927222102586895,0.28068077148497045,0.627970650959857,0.7102312185148872,9.705729166666666,4.751488095238095,15.547619047619047,8,0.0029761904761905766,11.535714285714285
gemini-3.1-pro-preview,reverse,16,0.35117719254084934,0.1371919539920971,0.5448947575358454,0.658292004048583,4.972098214285714,1.7756696428571428,9.103794642857144,8,-0.5111607142857144,2.4933035714285716
gemini-3.1-pro-preview,minimal,16,0.25070543777245374,0.036959440321104105,0.42818494101481047,0.5971084546258695,17.203125,8.1796875,27.515625,8,5.616071428571429,14.515625
