model_id,live_post_n,live_post_bias_first_minus_second,live_post_mae,live_post_pearson,live_post_spearman,live_replay_n,live_replay_bias_first_minus_second,live_replay_mae,live_replay_pearson,live_replay_spearman,post_replay_n,post_replay_bias_first_minus_second,post_replay_mae,post_replay_pearson,post_replay_spearman
gemini-3.1-pro-preview,64,-25.390625,26.015625,0.28913450543575275,0.31596972835389614,64,-0.15625,5.3125,0.602279655658586,0.6482158528254043,64,25.234375,25.296875,0.46717338772266914,0.5567686040291436
gpt-5.5,60,-5.166666666666667,6.1,0.5776204684178677,0.6133075258613179,60,1.9666666666666666,3.6333333333333333,0.47780151054396114,0.43650221615492585,60,7.133333333333334,7.833333333333333,0.47587567527911473,0.5053826340776916
